"message_id","destination","path_option","payment_option","message_cnt","duration","received"
1,"nodequeue","Randomized","Randomize messages",15,0,"2021-06-29 22:45:56.699"
2,"springqueue","Randomized","Randomize messages",15,0,"2021-06-29 22:46:42.236"
3,"nodequeue","Randomized","Randomize messages",29,2000,"2021-06-29 22:47:27.926"
4,"nodequeue","Randomized","Randomize messages",10,0,"2021-06-29 22:47:30.063"
5,"springqueue","Randomized","Randomize messages",29,2000,"2021-06-29 22:47:53.853"
6,"springqueue","Randomized","Randomize messages",10,0,"2021-06-29 22:47:55.974"
7,"nodequeue","Randomized","Randomize messages",10,0,"2021-06-29 22:48:35.741"
8,"springqueue","Randomized","Randomize messages",10,0,"2021-06-29 22:49:05.839"
9,"nodequeue","Randomized","Randomize messages",100,0,"2021-06-29 22:49:36.436"
10,"springqueue","Randomized","Randomize messages",100,0,"2021-06-29 22:50:28.056"
11,"springqueue","Randomized","Randomize messages",160,2000,"2021-06-29 22:51:23.049"
12,"springqueue","Randomized","Randomize messages",230,0,"2021-06-29 22:51:25.28"
13,"nodequeue","Randomized","Randomize messages",160,2000,"2021-06-29 22:53:06.626"
14,"nodequeue","Randomized","Randomize messages",230,0,"2021-06-29 22:53:09.097"
15,"nodequeue","Randomized","Randomize messages",10,100,"2021-06-29 22:54:13.059"
16,"springqueue","Randomized","Randomize messages",10,100,"2021-06-29 22:54:16.289"
17,"nodequeue","Randomized","Randomize messages",100,0,"2021-06-29 22:54:46.483"
18,"springqueue","Randomized","Randomize messages",100,0,"2021-06-29 22:55:44.548"
19,"nodequeue","Randomized","Randomize messages",60,2000,"2021-06-29 22:56:39.088"
20,"nodequeue","Randomized","Randomize messages",20,0,"2021-06-29 22:56:42.198"
21,"springqueue","Randomized","Randomize messages",60,2000,"2021-06-29 22:57:15.152"
22,"springqueue","Randomized","Randomize messages",20,0,"2021-06-29 22:57:18.206"
23,"nodequeue","Randomized","Randomize messages",10,100,"2021-06-29 22:58:05.126"
24,"springqueue","Randomized","Randomize messages",10,100,"2021-06-29 22:58:35.315"
25,"nodequeue","Randomized","Randomize messages",60,0,"2021-06-29 22:59:05.535"
26,"springqueue","Randomized","Randomize messages",60,0,"2021-06-29 22:59:35.873"
27,"nodequeue","Randomized","Randomize messages",500,0,"2021-06-29 23:00:19.131"
28,"springqueue","Randomized","Randomize messages",500,0,"2021-06-29 23:01:33.109"
29,"nodequeue","Randomized","Randomize messages",130,2000,"2021-06-29 23:03:23.061"
30,"nodequeue","Randomized","Randomize messages",400,0,"2021-06-29 23:03:25.164"
31,"springqueue","Randomized","Randomize messages",130,2000,"2021-06-29 23:04:55.064"
32,"springqueue","Randomized","Randomize messages",400,0,"2021-06-29 23:04:57.155"
33,"nodequeue","Randomized","Randomize messages",10,100,"2021-06-29 23:06:53.691"
34,"springqueue","Randomized","Randomize messages",10,100,"2021-06-29 23:07:23.889"
35,"nodequeue","Randomized","Randomize messages",33,0,"2021-06-29 23:07:54.079"
36,"springqueue","Randomized","Randomize messages",33,0,"2021-06-29 23:08:17.23"
37,"nodequeue","Randomized","Randomize messages",60,2000,"2021-06-29 23:08:51.093"
38,"nodequeue","Randomized","Randomize messages",200,0,"2021-06-29 23:08:54.941"
39,"springqueue","Randomized","Randomize messages",60,2000,"2021-06-29 23:09:49.272"
40,"springqueue","Randomized","Randomize messages",200,0,"2021-06-29 23:09:52.351"
41,"nodequeue","Randomized","Randomize messages",19,100,"2021-06-29 23:11:13.628"
42,"springqueue","Randomized","Randomize messages",19,100,"2021-06-29 23:11:35.874"
43,"nodequeue","Randomized","Randomize messages",60,0,"2021-06-29 23:12:18.131"
44,"springqueue","Randomized","Randomize messages",60,0,"2021-06-29 23:12:54.951"
45,"nodequeue","Randomized","Randomize messages",45,0,"2021-06-29 23:13:37.681"
46,"springqueue","Randomized","Randomize messages",45,0,"2021-06-29 23:14:10.416"
47,"nodequeue","Randomized","Randomize messages",79,2000,"2021-06-29 23:14:44.654"
48,"nodequeue","Randomized","Randomize messages",20,0,"2021-06-29 23:14:47.089"
49,"springqueue","Randomized","Randomize messages",79,2000,"2021-06-29 23:15:24.033"
50,"springqueue","Randomized","Randomize messages",20,0,"2021-06-29 23:15:26.125"
51,"nodequeue","Randomized","Randomize messages",40,0,"2021-06-29 23:16:23.556"
52,"springqueue","Randomized","Randomize messages",40,0,"2021-06-29 23:16:49.797"
53,"nodequeue","Randomized","Randomize messages",100,0,"2021-06-29 23:17:25"
54,"nodequeue","Randomized","Randomize messages",60,2000,"2021-06-29 23:17:40.018"
55,"nodequeue","Randomized","Randomize messages",10,0,"2021-06-29 23:17:42.884"
56,"nodequeue","Randomized","Randomize messages",35,0,"2021-06-29 23:18:16.467"
57,"nodequeue","Randomized","Randomize messages",33,2000,"2021-06-29 23:18:28.579"
58,"nodequeue","Randomized","Randomize messages",60,0,"2021-06-29 23:18:40.991"
59,"nodequeue","Randomized","Randomize messages",27,0,"2021-06-29 23:19:18.893"
60,"nodequeue","Randomized","Randomize messages",25,2000,"2021-06-29 23:19:28.023"
61,"nodequeue","Randomized","Randomize messages",5,0,"2021-06-29 23:19:40.332"
62,"springqueue","Randomized","Randomize messages",100,0,"2021-06-29 23:20:06.39"
63,"springqueue","Randomized","Randomize messages",60,2000,"2021-06-29 23:20:21.407"
64,"springqueue","Randomized","Randomize messages",10,0,"2021-06-29 23:20:23.971"
65,"springqueue","Randomized","Randomize messages",35,0,"2021-06-29 23:21:21.683"
66,"springqueue","Randomized","Randomize messages",33,2000,"2021-06-29 23:21:28.396"
67,"springqueue","Randomized","Randomize messages",60,0,"2021-06-29 23:21:40.534"
68,"springqueue","Randomized","Randomize messages",27,0,"2021-06-29 23:22:19.268"
69,"springqueue","Randomized","Randomize messages",25,2000,"2021-06-29 23:22:37.822"
70,"springqueue","Randomized","Randomize messages",5,0,"2021-06-29 23:22:49.957"
